N,SNR_Random,SNR_Benchmark,SNR_SDR,SNR_QAOA
64,0.00017608075500301815,0.0012937001008940666,0.000605188746733504,0.023366416231055807
128,0.0010842213781252137,0.008608086182796949,1.3666856926882619e-05,0.1059930471665636
256,0.0011034943857876607,0.01792081286142945,0.10131041109729777,0.4035587915070603
